variant,algo,waves,roc_auc_mean,pr_auc_mean,precision@R_mean,recall@thr_mean,FP_per_1000_mean
baseline,GBM,5.0,0.8348755652364638,0.4576128480427027,0.0694127755310111,0.9804998255542671,638.6534653465346
baseline,RF,5.0,0.7967574343782804,0.44866212847285575,0.055373681933355526,0.9813311902057782,803.1683168316831
baseline,XGB,5.0,0.8348856576197496,0.46954630916196044,0.06881122119552845,0.9804998255542671,643.8217821782179
rose,GBM,5.0,0.8308351927052134,0.4716506272457532,0.06782179775455514,0.9804998255542671,650.970297029703
rose,RF,5.0,0.7961054656137925,0.45044917173232635,0.054138250190943524,0.9829933916864915,820.8118811881188
rose,XGB,5.0,0.8398819137531243,0.4852677653768337,0.06962591269593305,0.9804998255542671,631.6237623762376
