variant,model,n_classes_train,recall_macro,precision_macro,f1_macro,topk_recall@1,topk_recall@3,k_at_topk_recall>=0.98,n_features_used
baseline,GBM,7.2,0.798968253968254,0.7645855995855996,0.7555011371020143,0.7626436781609195,0.8123973727422003,5.4,123.0
baseline,RF,7.2,0.7705813234384663,0.7236309523809523,0.7114188067571525,0.7800328407224959,0.895960591133005,3.2,123.0
baseline,XGB,7.2,0.7366666666666666,0.618289442039442,0.6376185542852209,0.704072249589491,0.8888177339901479,3.8,123.0
