mode,variant,algo,train data package,test data package,roc_auc,pr_auc,thr@R>=0.98,precision@R,recall@thr,TP,FP,TN,FN,FP_per_1000,n_test
incremental,adasyn,RF,B2,B3,0.9995,0.9682,0.2400,0.5000,1,20.0000,20.0000,1980.0000,0.0000,9.9010,2020
full_retrain,baseline,GBM,B1,B2,0.9068,0.7341,0.0000,0.0139,1,28.0000,1992.0000,0.0000,0.0000,986.1386,2020
full_retrain,baseline,GBM,B1+B2+B3+B4,B5,0.9994,0.9745,0.0123,0.5769,1,30.0000,22.0000,1968.0000,0.0000,10.8911,2020
full_retrain,baseline,GBM,B1+B2,B3,0.9998,0.9829,0.0207,0.9091,1,20.0000,2.0000,1998.0000,0.0000,0.9901,2020
full_retrain,baseline,GBM,B1+B2+B3,B4,0.9997,0.9854,0.0015,0.6744,1,29.0000,14.0000,1977.0000,0.0000,6.9307,2020
incremental,baseline,XGB,B3,B4,0.9997,0.9819,0.0218,0.8056,1,29.0000,7.0000,1984.0000,0.0000,3.4653,2020
full_retrain,baseline,RF,B1,B2,0.9907,0.8988,0.0700,0.1393,1,28.0000,173.0000,1819.0000,0.0000,85.6436,2020
incremental,baseline,RF,B2,B3,0.9998,0.9833,0.1267,0.6667,1,20.0000,10.0000,1990.0000,0.0000,4.9505,2020
full_retrain,baseline,RF,B1+B2+B3+B4,B5,0.9992,0.9752,0.1300,0.4286,1,30.0000,40.0000,1950.0000,0.0000,19.8020,2020
incremental,smote,XGB,B3,B4,0.9998,0.9871,0.0674,0.8788,1,29.0000,4.0000,1987.0000,0.0000,1.9802,2020
full_retrain,baseline,RF,B1+B2+B3,B4,1.0000,1.0000,0.1900,1.0000,1,29.0000,0.0000,1991.0000,0.0000,0.0000,2020
full_retrain,baseline,RF,B1+B2,B3,1.0000,1.0000,0.2267,1.0000,1,20.0000,0.0000,2000.0000,0.0000,0.0000,2020
full_retrain,baseline,XGB,B1+B2+B3+B4,B5,0.9891,0.7329,0.0003,0.2609,1,30.0000,85.0000,1905.0000,0.0000,42.0792,2020
full_retrain,baseline,XGB,B1,B2,0.9932,0.8793,0.0043,0.1687,1,28.0000,138.0000,1854.0000,0.0000,68.3168,2020
incremental,baseline,GBM,B3,B4,0.9999,0.9916,0.0000,0.8788,1,29.0000,4.0000,1987.0000,0.0000,1.9802,2020
incremental,smote,RF,B3,B4,0.9999,0.9925,0.1967,0.7838,1,29.0000,8.0000,1983.0000,0.0000,3.9604,2020
full_retrain,baseline,XGB,B1+B2+B3,B4,1.0000,1.0000,0.0170,1.0000,1,29.0000,0.0000,1991.0000,0.0000,0.0000,2020
full_retrain,baseline,XGB,B1+B2,B3,1.0000,1.0000,0.8009,1.0000,1,20.0000,0.0000,2000.0000,0.0000,0.0000,2020
full_retrain,smote,GBM,B1,B2,0.9663,0.7278,0.0000,0.0498,1,28.0000,534.0000,1458.0000,0.0000,264.3564,2020
incremental,adasyn,XGB,B3,B4,0.9999,0.9964,0.0405,0.9667,1,29.0000,1.0000,1990.0000,0.0000,0.4950,2020
incremental,adasyn,RF,B3,B4,1.0000,0.9968,0.1800,0.9063,1,29.0000,3.0000,1988.0000,0.0000,1.4851,2020
full_retrain,smote,GBM,B1+B2+B3+B4,B5,0.9996,0.9749,0.0330,0.8824,1,30.0000,4.0000,1986.0000,0.0000,1.9802,2020
full_retrain,smote,GBM,B1+B2+B3,B4,0.9999,0.9941,0.0028,0.8286,1,29.0000,6.0000,1985.0000,0.0000,2.9703,2020
incremental,baseline,RF,B3,B4,1.0000,1.0000,0.1800,1.0000,1,29.0000,0.0000,1991.0000,0.0000,0.0000,2020
full_retrain,smote,GBM,B1+B2,B3,1.0000,1.0000,0.6302,1.0000,1,20.0000,0.0000,2000.0000,0.0000,0.0000,2020
full_retrain,smote,RF,B1,B2,0.9865,0.7466,0.1333,0.1333,1,28.0000,182.0000,1810.0000,0.0000,90.0990,2020
full_retrain,smote,RF,B1+B2+B3,B4,0.9998,0.9885,0.2233,0.7632,1,29.0000,9.0000,1982.0000,0.0000,4.4554,2020
full_retrain,smote,RF,B1+B2+B3+B4,B5,0.9999,0.9937,0.2633,0.9375,1,30.0000,2.0000,1988.0000,0.0000,0.9901,2020
incremental,baseline,GBM,B2,B3,1.0000,1.0000,0.0131,1.0000,1,20.0000,0.0000,2000.0000,0.0000,0.0000,2020
full_retrain,smote,RF,B1+B2,B3,1.0000,1.0000,0.4700,1.0000,1,20.0000,0.0000,2000.0000,0.0000,0.0000,2020
full_retrain,smote,XGB,B1,B2,0.9916,0.9086,0.0054,0.1451,1,28.0000,165.0000,1827.0000,0.0000,81.6832,2020
full_retrain,smote,XGB,B1+B2+B3+B4,B5,0.9994,0.9710,0.0064,0.7143,1,30.0000,12.0000,1978.0000,0.0000,5.9406,2020
full_retrain,smote,XGB,B1+B2+B3,B4,1.0000,0.9989,0.0417,0.9667,1,29.0000,1.0000,1990.0000,0.0000,0.4950,2020
full_retrain,smote,XGB,B1+B2,B3,1.0000,1.0000,0.0679,1.0000,1,20.0000,0.0000,2000.0000,0.0000,0.0000,2020
