variant,algo,waves,roc_auc_mean,pr_auc_mean,precision@R_mean,recall@thr_mean,FP_per_1000_mean
adasyn,GBM,5.0,0.999916062645943,0.9937269499835233,0.968611111111111,1.0,0.49504950495049505
adasyn,RF,5.0,0.9999596977329975,0.9975235008924145,0.9794871794871796,1.0,0.39603960396039606
adasyn,XGB,5.0,0.9999509270815798,0.9971673106390808,0.9454426295624119,1.0,0.9900990099009901
baseline,GBM,5.0,0.9999844360734347,0.9990811749945612,0.9775438596491227,1.0,0.39603960396039606
baseline,RF,5.0,0.9999769701331414,0.9987812215795409,0.975,1.0,0.49504950495049505
baseline,XGB,5.0,0.9999896002813431,0.9993087557603687,0.9799851687059696,1.0,0.297029702970297
smote,GBM,5.0,0.9999971212666428,0.9998412698412699,0.9944444444444445,1.0,0.09900990099009901
smote,RF,5.0,0.9999654551997121,0.997954921323835,0.9794871794871796,1.0,0.39603960396039606
smote,XGB,5.0,0.9999851349828186,0.9991217233716556,0.9879928315412186,1.0,0.19801980198019803
