variant,model,n_classes_train,recall_macro,precision_macro,f1_macro,topk_recall@1,topk_recall@3,k_at_topk_recall>=0.98,n_features_used
baseline,GBM,19.4,0.4886665245140914,0.5890393970106534,0.4970449667706677,0.8944447319771662,0.9461893494371985,6.8,123.0
baseline,RF,19.4,0.2567757574974193,0.3687605239807084,0.27090450054847953,0.8249435771553568,0.9731203004402227,4.2,123.0
baseline,XGB,19.4,0.4129341437558841,0.4876097417000663,0.4143281103135489,0.8650806024037296,0.9810655792945455,4.4,123.0
