wave,variant,algo,roc_auc,pr_auc,thr@R>=0.98,precision@R,recall@thr,TP,FP,TN,FN,FP_per_1000,n_test
synthetic_transactions_structured_100_3,adasyn,XGB,1.0,1.0000000000000002,0.7977307438850403,1.0,1.0,20,0,2000,0,0.0,2020
synthetic_transactions_structured_100_3,adasyn,RF,1.0,1.0,0.54,1.0,1.0,20,0,2000,0,0.0,2020
synthetic_transactions_structured_100_4,adasyn,GBM,1.0,0.9999999999999999,0.8879367307030525,1.0,1.0,29,0,1991,0,0.0,2020
synthetic_transactions_structured_100_4,adasyn,XGB,1.0,0.9999999999999999,0.6840676069259644,1.0,1.0,29,0,1991,0,0.0,2020
synthetic_transactions_structured_100_4,adasyn,RF,1.0,0.9999999999999999,0.3233333333333333,1.0,1.0,29,0,1991,0,0.0,2020
synthetic_transactions_structured_100_5,adasyn,GBM,1.0,1.0,0.0007102950790888816,1.0,1.0,30,0,1990,0,0.0,2020
synthetic_transactions_structured_100_5,adasyn,XGB,0.999966499162479,0.9979166666666666,0.008460958488285542,0.9375,1.0,30,2,1988,0,0.9900990099009901,2020
synthetic_transactions_structured_100_5,adasyn,RF,1.0,1.0,0.3933333333333333,1.0,1.0,30,0,1990,0,0.0,2020
synthetic_transactions_structured_100_1,rose,GBM,0.9999424253328535,0.9968682968682969,0.030814619224606862,0.9459459459459459,1.0,35,2,1983,0,0.9900990099009901,2020
synthetic_transactions_structured_100_1,rose,XGB,0.9999856063332134,0.9992063492063492,0.13990072906017303,0.9722222222222222,1.0,35,1,1984,0,0.49504950495049505,2020
synthetic_transactions_structured_100_1,rose,RF,0.9999712126664267,0.9984555984555985,0.12333333333333334,0.9459459459459459,1.0,35,2,1983,0,0.9900990099009901,2020
synthetic_transactions_structured_100_2,rose,GBM,1.0,1.0,0.9817715866744937,1.0,1.0,28,0,1992,0,0.0,2020
synthetic_transactions_structured_100_2,rose,XGB,1.0,0.9999999999999999,0.8667427897453308,1.0,1.0,28,0,1992,0,0.0,2020
synthetic_transactions_structured_100_2,rose,RF,1.0,1.0,0.6033333333333334,1.0,1.0,28,0,1992,0,0.0,2020
synthetic_transactions_structured_100_3,rose,GBM,1.0,1.0,2.479903468283846e-07,1.0,1.0,20,0,2000,0,0.0,2020
synthetic_transactions_structured_100_3,rose,XGB,1.0,1.0,0.07902926206588745,1.0,1.0,20,0,2000,0,0.0,2020
synthetic_transactions_structured_100_3,rose,RF,1.0,1.0,0.65,1.0,1.0,20,0,2000,0,0.0,2020
synthetic_transactions_structured_100_4,rose,GBM,1.0,1.0,0.5815474334729293,1.0,1.0,29,0,1991,0,0.0,2020
synthetic_transactions_structured_100_4,rose,XGB,1.0,0.9999999999999998,0.3258809447288513,1.0,1.0,29,0,1991,0,0.0,2020
synthetic_transactions_structured_100_4,rose,RF,1.0,1.0,0.4033333333333333,1.0,1.0,29,0,1991,0,0.0,2020
synthetic_transactions_structured_100_5,rose,GBM,0.9999999999999999,1.0,0.00700638899522293,1.0,1.0,30,0,1990,0,0.0,2020
synthetic_transactions_structured_100_5,rose,XGB,1.0,1.0,0.029498081654310226,1.0,1.0,30,0,1990,0,0.0,2020
synthetic_transactions_structured_100_5,rose,RF,1.0,0.9999999999999999,0.5233333333333333,1.0,1.0,30,0,1990,0,0.0,2020
